"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 13 15:04:12 GMT 2024","Sat Jul 13 15:04:18 GMT 2024","6371","chromium","redmineTests.spec.js","Register page","","","register with an invalid password less than 8 symbols",""
"passed","Sat Jul 13 15:04:12 GMT 2024","Sat Jul 13 15:04:25 GMT 2024","13017","chromium","redmineTests.spec.js","Login page","","","login with valid credentials",""
"passed","Sat Jul 13 15:04:12 GMT 2024","Sat Jul 13 15:04:24 GMT 2024","12575","chromium","redmineTests.spec.js","Register page","","","register with valid credentials",""
"passed","Sat Jul 13 15:04:12 GMT 2024","Sat Jul 13 15:04:25 GMT 2024","13287","chromium","redmineTests.spec.js","Login page","","","login with an invalid password",""
"broken","Sat Jul 13 15:04:12 GMT 2024","Sat Jul 13 15:04:42 GMT 2024","30014","chromium","redmineTests.spec.js","Login page","","","change the first name on the my account page",""
