"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Jul 13 20:03:39 GMT 2024","Sat Jul 13 20:03:39 GMT 2024","0","chromium","redmineTests.spec.js","Login page","","","login with an invalid password",""
"skipped","Sat Jul 13 20:03:39 GMT 2024","Sat Jul 13 20:03:39 GMT 2024","0","chromium","redmineTests.spec.js","Register page","","","register with an invalid password less than 8 symbols",""
"failed","Sat Jul 13 20:03:39 GMT 2024","Sat Jul 13 20:03:39 GMT 2024","169","chromium","redmineTests.spec.js","Register page","","","register with valid credentials",""
"skipped","Sat Jul 13 20:03:39 GMT 2024","Sat Jul 13 20:03:39 GMT 2024","0","chromium","redmineTests.spec.js","Login page","","","change the first name on the my account page",""
"skipped","Sat Jul 13 20:03:39 GMT 2024","Sat Jul 13 20:03:39 GMT 2024","1","chromium","redmineTests.spec.js","Login page","","","login with valid credentials",""
