"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 13 19:25:46 GMT 2024","Sat Jul 13 19:26:00 GMT 2024","13789","chromium","redmineTests.spec.js","Login page","","","change the first name on the my account page",""
"passed","Sat Jul 13 19:25:34 GMT 2024","Sat Jul 13 19:25:46 GMT 2024","12218","chromium","redmineTests.spec.js","Login page","","","login with an invalid password",""
"passed","Sat Jul 13 19:25:21 GMT 2024","Sat Jul 13 19:25:34 GMT 2024","12700","chromium","redmineTests.spec.js","Login page","","","login with valid credentials",""
"passed","Sat Jul 13 19:25:17 GMT 2024","Sat Jul 13 19:25:21 GMT 2024","4520","chromium","redmineTests.spec.js","Register page","","","register with an invalid password less than 8 symbols",""
"passed","Sat Jul 13 19:25:07 GMT 2024","Sat Jul 13 19:25:17 GMT 2024","9789","chromium","redmineTests.spec.js","Register page","","","register with valid credentials",""
