"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 13 20:08:42 GMT 2024","Sat Jul 13 20:08:52 GMT 2024","10193","chromium","redmineTests.spec.js","Register page","","","register with valid credentials",""
"passed","Sat Jul 13 20:09:24 GMT 2024","Sat Jul 13 20:09:37 GMT 2024","13273","chromium","redmineTests.spec.js","Login page","","","change the first name on the my account page",""
"passed","Sat Jul 13 20:08:58 GMT 2024","Sat Jul 13 20:09:11 GMT 2024","13539","chromium","redmineTests.spec.js","Login page","","","login with valid credentials",""
"passed","Sat Jul 13 20:09:11 GMT 2024","Sat Jul 13 20:09:24 GMT 2024","12761","chromium","redmineTests.spec.js","Login page","","","login with an invalid password",""
"passed","Sat Jul 13 20:08:53 GMT 2024","Sat Jul 13 20:08:58 GMT 2024","5029","chromium","redmineTests.spec.js","Register page","","","register with an invalid password less than 8 symbols",""
