"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 13 17:39:39 GMT 2024","Sat Jul 13 17:39:51 GMT 2024","12668","chromium","redmineTests.spec.js","Register page","","","register with valid credentials",""
"passed","Sat Jul 13 17:39:39 GMT 2024","Sat Jul 13 17:39:51 GMT 2024","11900","chromium","redmineTests.spec.js","Login page","","","login with an invalid password",""
"passed","Sat Jul 13 17:39:39 GMT 2024","Sat Jul 13 17:39:52 GMT 2024","13517","chromium","redmineTests.spec.js","Login page","","","change the first name on the my account page",""
"passed","Sat Jul 13 17:39:39 GMT 2024","Sat Jul 13 17:39:51 GMT 2024","12275","chromium","redmineTests.spec.js","Login page","","","login with valid credentials",""
"passed","Sat Jul 13 17:39:39 GMT 2024","Sat Jul 13 17:39:46 GMT 2024","6814","chromium","redmineTests.spec.js","Register page","","","register with an invalid password less than 8 symbols",""
