"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 13 18:53:52 GMT 2024","Sat Jul 13 18:54:00 GMT 2024","8079","chromium","redmineTests.spec.js","Register page","","","register with an invalid password less than 8 symbols",""
"passed","Sat Jul 13 18:53:52 GMT 2024","Sat Jul 13 18:54:05 GMT 2024","12959","chromium","redmineTests.spec.js","Register page","","","register with valid credentials",""
"passed","Sat Jul 13 18:53:52 GMT 2024","Sat Jul 13 18:54:07 GMT 2024","15333","chromium","redmineTests.spec.js","Login page","","","login with an invalid password",""
"broken","Sat Jul 13 18:53:52 GMT 2024","Sat Jul 13 18:54:22 GMT 2024","30011","chromium","redmineTests.spec.js","Login page","","","change the first name on the my account page",""
"passed","Sat Jul 13 18:53:52 GMT 2024","Sat Jul 13 18:54:06 GMT 2024","13941","chromium","redmineTests.spec.js","Login page","","","login with valid credentials",""
